,0,1,2,3,4,5,Filter_2_Value_1,Filter_2_dontcares_1
0,0,0,0,0,0,0,True,False
1,0,0,0,0,0,1,True,False
2,0,0,0,0,1,0,False,False
3,0,0,0,0,1,1,True,True
4,0,0,0,1,0,0,False,False
5,0,0,0,1,0,1,True,True
6,0,0,0,1,1,0,False,True
7,0,0,0,1,1,1,False,True
8,0,0,1,0,0,0,False,False
9,0,0,1,0,0,1,True,True
10,0,0,1,0,1,0,False,True
11,0,0,1,0,1,1,False,True
12,0,0,1,1,0,0,True,True
13,0,0,1,1,0,1,True,True
14,0,0,1,1,1,0,False,True
15,0,0,1,1,1,1,True,True
16,0,1,0,0,0,0,True,False
17,0,1,0,0,0,1,True,False
18,0,1,0,0,1,0,True,False
19,0,1,0,0,1,1,True,True
20,0,1,0,1,0,0,False,False
21,0,1,0,1,0,1,True,True
22,0,1,0,1,1,0,False,True
23,0,1,0,1,1,1,False,True
24,0,1,1,0,0,0,False,False
25,0,1,1,0,0,1,True,True
26,0,1,1,0,1,0,False,True
27,0,1,1,0,1,1,False,True
28,0,1,1,1,0,0,False,True
29,0,1,1,1,0,1,True,True
30,0,1,1,1,1,0,False,True
31,0,1,1,1,1,1,True,True
32,1,0,0,0,0,0,True,False
33,1,0,0,0,0,1,True,False
34,1,0,0,0,1,0,False,False
35,1,0,0,0,1,1,True,True
36,1,0,0,1,0,0,False,False
37,1,0,0,1,0,1,True,True
38,1,0,0,1,1,0,False,True
39,1,0,0,1,1,1,True,True
40,1,0,1,0,0,0,False,False
41,1,0,1,0,0,1,True,True
42,1,0,1,0,1,0,False,True
43,1,0,1,0,1,1,False,True
44,1,0,1,1,0,0,True,True
45,1,0,1,1,0,1,True,True
46,1,0,1,1,1,0,False,True
47,1,0,1,1,1,1,True,True
48,1,1,0,0,0,0,True,False
49,1,1,0,0,0,1,True,False
50,1,1,0,0,1,0,True,False
51,1,1,0,0,1,1,True,True
52,1,1,0,1,0,0,True,False
53,1,1,0,1,0,1,True,True
54,1,1,0,1,1,0,False,True
55,1,1,0,1,1,1,True,True
56,1,1,1,0,0,0,False,False
57,1,1,1,0,0,1,True,True
58,1,1,1,0,1,0,False,True
59,1,1,1,0,1,1,False,True
60,1,1,1,1,0,0,True,True
61,1,1,1,1,0,1,True,True
62,1,1,1,1,1,0,False,True
63,1,1,1,1,1,1,True,True
